"Date","Description","Comments","Check Number","Amount","Balance"
"08/06/2023","WAL-MART #2892 11101 SO. PARKER ROAD PARKER CO Card 3805","","","($10.89)","$377.95"
"08/06/2023","Visa Check  PHILLIPS 66 - FLAT ACRE PARKER CO 08/06/23 Card 3805","","","($6.22)","$371.73"
"08/07/2023","Visa Check  DD DOORDASH QDOBAMEXI 855-973-1040 CA 08/07/23 Card 3805","","","($27.90)","$343.83"
"08/07/2023","Visa Check  FIVE BELOW 3020 PARKER CO 08/06/23 Card 3805","","","($25.97)","$317.86"
"08/07/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/07/23 Card 3805","","","($30.87)","$286.99"
"08/07/2023","Visa Check  DD DOORDASH MARCOSPIZ 855-973-1040 CA 08/07/23 Card 3805","","","($31.00)","$255.99"
"08/08/2023","Visa Check  OPENAI OPENAI.COM CA 08/08/23 Card 3805","","","($2.30)","$253.69"
"08/08/2023","Visa Check  TWISTERS PAR 21 PARKER CO 08/07/23 Card 3805","","","($8.95)","$244.74"
"08/08/2023","Visa Check  ZEL*KORY BROWN Visa Direct AZ 08/08/23 Card 3805","","","($20.00)","$224.74"
"08/08/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/08/23 Card 3805","","","($15.82)","$208.92"
"08/09/2023","Visa Check  CHIPOTLE 0059 PARKER CO 08/08/23 Card 3805","","","($14.42)","$194.50"
"08/09/2023","Visa Check  SHELL OIL 57446054504 AURORA CO 08/08/23 Card 3805","","","($2.04)","$192.46"
"08/09/2023","Visa Check  E 470 EXPRESS TOLLS 303-5373470 CO 08/09/23 Card 3805","","","($27.35)","$165.11"
"08/10/2023","Visa Check  GOLDEN CORRAL 0793 AURORA CO 08/09/23 Card 3805","","","($32.40)","$132.71"
"08/11/2023","Visa Check  #5716 EVERYDAY STORE PARKER CO 08/10/23 Card 3805","","","($20.00)","$112.71"
"08/11/2023","Visa Check  TST* Woodys Wings 303-696-7227 CO 08/11/23 Card 3805","","","($21.72)","$90.99"
"08/11/2023","Visa Check  TST* Woodys Wings Aurora CO 08/10/23 Card 3805","","","($4.31)","$86.68"
"08/11/2023","DISHA CORP  : DIRECT DEP   : 9111111101","","","$818.82","$905.50"
"08/11/2023","O'REILLY AUTO PARTS 285 Pending credit/return for $49.67 on card 3805","","","",""
"08/11/2023","Visa Check  DD DOORDASH BUFFALOWI 855-973-1040 CA 08/11/23 Card 3805","","","($24.17)","$881.33"
"08/11/2023","Visa Check  SHELL OIL 57446054504 AURORA CO 08/10/23 Card 3805","","","($16.00)","$865.33"
"08/11/2023","Visa Check  Waffle House PARKER CO 08/11/23 Card 3805","","","($24.48)","$840.85"
"08/12/2023","Credit Voucher  O'REILLY AUTO PARTS 285 PARKER CO 08/11/23 Card 3805","","","$49.67","$890.52"
"08/12/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/12/23 Card 3805","","","($39.87)","$850.65"
"08/12/2023","Visa Check  DD DOORDASH CHILISGRI 855-973-1040 CA 08/12/23 Card 3805","","","($29.62)","$821.03"
"08/12/2023","Visa Check  CHATGPT SUBSCRIPTION OPENAI.COM CA 08/12/23 Card 3805","","","($20.00)","$801.03"
"08/13/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/13/23 Card 3805","","","($11.60)","$789.43"
"08/14/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/14/23 Card 3805","","","($10.97)","$778.46"
"08/14/2023","Withdrawal PAI ISO 17050 E MAINSTREET PARKER CO Card 3805","","","($63.00)","$715.46"
"08/15/2023","Visa Check  DOORDASH DASHPASS WWW.DOORDASH. CA 08/15/23 Card 3805","","","($9.99)","$705.47"
"08/15/2023","Visa Check  GOOGLE *Scopely Inc g.co/helppay# CA 08/15/23 Card 3805","","","($19.99)","$685.48"
"08/15/2023","Visa Check  DD DOORDASH LILRICCIS 855-973-1040 CA 08/15/23 Card 3805","","","($27.06)","$658.42"
"08/15/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/15/23 Card 3805","","","($40.00)","$618.42"
"08/15/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/15/23 Card 3805","","","($23.41)","$595.01"
"08/15/2023","T SQUARE 17050 E MAIN STREE US PARKER CO 5541 Card 3805","","","($19.10)","$575.91"
"08/16/2023","Visa Check  TWISTERS PAR 21 PARKER CO 08/15/23 Card 3805","","","($8.95)","$566.96"
"08/16/2023","Visa Check  ACT*Parker Rec/Culture 303-8053273 CO 08/16/23 Card 3805","","","($42.00)","$524.96"
"08/16/2023","Visa Check  DD DOORDASH FUZZYSTAC 855-973-1040 CA 08/16/23 Card 3805","","","($21.36)","$503.60"
"08/16/2023","Visa Check  ZEL*KORY BROWN Visa Direct AZ 08/16/23 Card 3805","","","($20.00)","$483.60"
"08/16/2023","Visa Check  WALMART.COM 800-966-6546 AR 08/16/23 Card 3805","","","($35.57)","$448.03"
"08/17/2023","Visa Check  TST* Taste of Philly - Parker CO 08/16/23 Card 3805","","","($14.88)","$433.15"
"08/17/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/17/23 Card 3805","","","($9.37)","$423.78"
"08/17/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/17/23 Card 3805","","","($16.94)","$406.84"
"08/17/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/17/23 Card 3805","","","($3.66)","$403.18"
"08/18/2023","Visa Check  LOAF N JUG #0007 PARKER CO 08/17/23 Card 3805","","","($3.08)","$400.10"
"08/18/2023","Visa Check  GOOD TIMES DR THRU 148 PARKER CO 08/16/23 Card 3805","","","($3.88)","$396.22"
"08/18/2023","Check #111 Withdrawal","","0000000111","($72.00)","$324.22"
"08/19/2023","Visa Check  WALGREENS #5261 PARKER CO 08/18/23 Card 3805","","","($11.12)","$313.10"
"08/19/2023","Visa Check  GOOGLE *YouTube Music g.co/helppay# CA 08/19/23 Card 3805","","","($10.69)","$302.41"
"08/19/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/19/23 Card 3805","","","($5.60)","$296.81"
"08/20/2023","Visa Check  AMZN Mktp US*TQ4PM0321 Amzn.com/bill WA 08/20/23 Card 3805","","","($1.36)","$295.45"
"08/21/2023","Visa Check  DD DOORDASH JERSEYMIK 855-973-1040 CA 08/21/23 Card 3805","","","($20.74)","$274.71"
"08/21/2023","Visa Check  DD DOORDASH MCDONALDS 855-973-1040 CA 08/21/23 Card 3805","","","($18.38)","$256.33"
"08/21/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/21/23 Card 3805","","","($17.44)","$238.89"
"08/22/2023","Visa Check  DD DOORDASH PANDAEXPR 855-973-1040 CA 08/22/23 Card 3805","","","($41.43)","$197.46"
"08/22/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/22/23 Card 3805","","","($13.70)","$183.76"
"08/23/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/23/23 Card 3805","","","($34.50)","$149.26"
"08/23/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/23/23 Card 3805","","","($6.50)","$142.76"
"08/23/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/23/23 Card 3805","","","($8.93)","$133.83"
"08/25/2023","Visa Check  SONIC DRIVE IN #4428 PARKER CO 08/24/23 Card 3805","","","($14.44)","$119.39"
"08/25/2023","DISHA CORP  : DIRECT DEP   : 9111111101","","","$946.83","$1,066.22"
"08/25/2023","Visa Check  Waffle House PARKER CO 08/25/23 Card 3805","","","($20.40)","$1,045.82"
"08/26/2023","Visa Check  DD DOORDASH FREDDYSFR 855-973-1040 CA 08/26/23 Card 3805","","","($26.22)","$1,019.60"
"08/26/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/26/23 Card 3805","","","($15.59)","$1,004.01"
"08/27/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/27/23 Card 3805","","","($2.80)","$1,001.21"
"08/27/2023","T SQUARE 17050 E MAIN STREE US PARKER CO 5541 Card 3805","","","($13.02)","$988.19"
"08/28/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/28/23 Card 3805","","","($4.63)","$983.56"
"08/28/2023","Visa Check  DD DOORDASH CASAMATAM 855-973-1040 CA 08/28/23 Card 3805","","","($30.29)","$953.27"
"08/28/2023","Visa Check  DD DOORDASH CARLSJR. 855-973-1040 CA 08/28/23 Card 3805","","","($21.81)","$931.46"
"08/28/2023","Withdrawal PAI ISO 17050 E MAINSTREET PARKER CO Card 3805","","","($63.00)","$868.46"
"08/28/2023","Check #113 Withdrawal","","0000000113","($72.00)","$796.46"
"08/28/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/28/23 Card 3805","","","($43.01)","$753.45"
"08/29/2023","PAYMENT FOR AMZ  : STORECARD   : 9069872103 NAME: 6045781174794916","","","($112.10)","$641.35"
"08/29/2023","Visa Check  Waffle House PARKER CO 08/29/23 Card 3805","","","($22.80)","$618.55"
"08/30/2023","Visa Check  CIRCLE K # 44137 PARKER CO 08/29/23 Card 3805","","","($3.11)","$615.44"
"08/30/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/30/23 Card 3805","","","($8.39)","$607.05"
"08/31/2023","Visa Check  MEM.AI MEM.AI CA 08/31/23 Card 3805","","","($10.00)","$597.05"
"08/31/2023","Visa Check  AMZN Mktp US*TL4UX9OR2 Amzn.com/bill WA 08/31/23 Card 3805","","","($43.42)","$553.63"
"08/31/2023","Visa Check  DD DOORDASH SUBWAY 855-973-1040 CA 08/31/23 Card 3805","","","($21.02)","$532.61"
"08/31/2023","Deposit Dividend Tiered Rate APY Earned  0.05% 08/01/23 to 08/31/23","","","$0.02","$532.63"
"09/01/2023","Visa Check  LOAF N JUG #0007 PARKER CO 08/31/23 Card 3805","","","($7.51)","$525.12"
"09/02/2023","Visa Check  CHILI'S SOUTH PARKER PARKER CO 09/01/23 Card 3805","","","($67.53)","$457.59"
"09/02/2023","Visa Check  7-ELEVEN 41543 PARKER CO 09/01/23 Card 3805","","","($7.00)","$450.59"
"09/03/2023","Visa Check  E 470 EXPRESS TOLLS 303-5373470 CO 09/02/23 Card 3805","","","($29.55)","$421.04"
"09/03/2023","Visa Check  NAYAX AMUSEMENTS HUNT VALLEY MD 09/02/23 Card 3805","","","($7.00)","$414.04"
"09/03/2023","Visa Check  DD DOORDASH MCDONALDS 855-973-1040 CA 09/03/23 Card 3805","","","($36.02)","$378.02"
"09/03/2023","Visa Check  CONOCO - SEI 32923 PARKER CO 09/02/23 Card 3805","","","($3.42)","$374.60"
"09/03/2023","Visa Check  SCHLOTZSKY'S 1790 GREENWOOD VIL CO 09/03/23 Card 3805","","","($9.63)","$364.97"
"09/03/2023","Visa Check  SCHLOTZSKY'S 1790 GREENWOOD VIL CO 09/03/23 Card 3805","","","($21.41)","$343.56"
"09/04/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/03/23 Card 3805","","","($23.09)","$320.47"
"09/04/2023","Visa Check  DD DOORDASH SUBWAY 855-973-1040 CA 09/04/23 Card 3805","","","($31.55)","$288.92"
"09/04/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/04/23 Card 3805","","","($18.64)","$270.28"
"09/04/2023","Visa Check  ROBLOX 1.888.858.2569 HTTPSCORP.ROB CA 09/04/23 Card 3805","","","($4.99)","$265.29"
"09/05/2023","Visa Check  DD DOORDASH MCDONALDS 855-973-1040 CA 09/05/23 Card 3805","","","($30.74)","$234.55"
"09/05/2023","Visa Check  PYTHONANYWHERE RICHMOND GB 09/05/23 Card 3805","","","($7.00)","$227.55"
"09/05/2023","Withdrawal Card Fee  VISA INTERNATIONAL SERVICE ASSESSMENT Date 09/05/23 Card 3805","","","($0.06)","$227.49"
"09/06/2023","Visa Check  DD DOORDASH JERSEYMIK 855-973-1040 CA 09/06/23 Card 3805","","","($29.68)","$197.81"
"09/06/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/06/23 Card 3805","","","($20.38)","$177.43"
"09/06/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/06/23 Card 3805","","","($6.47)","$170.96"
"09/07/2023","Visa Check  DD DOORDASH COLONNASP 855-973-1040 CA 09/07/23 Card 3805","","","($28.48)","$142.48"
"09/07/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/07/23 Card 3805","","","($9.58)","$132.90"
"09/08/2023","Visa Check  SONIC DRIVE IN #4428 PARKER CO 09/07/23 Card 3805","","","($18.88)","$114.02"
"09/08/2023","DISHA CORP  : DIRECT DEP   : 9111111101","","","$890.26","$1,004.28"
"09/08/2023","Visa Check  7-ELEVEN 39421 PARKER CO 09/07/23 Card 3805","","","($16.83)","$987.45"
"09/09/2023","Visa Check  STEAMGAMES.COM 42595229 425-8899642 WA 09/09/23 Card 3805","","","($10.29)","$977.16"
"09/09/2023","Visa Check  SHELL OIL 57446054504 AURORA CO 09/08/23 Card 3805","","","($13.26)","$963.90"
"09/09/2023","Visa Check  DD DOORDASH LACASITA 855-973-1040 CA 09/09/23 Card 3805","","","($32.49)","$931.41"
"09/10/2023","Visa Check  DD DOORDASH BLACKJACK 855-973-1040 CA 09/10/23 Card 3805","","","($27.87)","$903.54"
"09/10/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/10/23 Card 3805","","","($8.94)","$894.60"
"09/10/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/10/23 Card 3805","","","($13.66)","$880.94"
"09/10/2023","Visa Check  WALMART.COM 800-966-6546 AR 09/10/23 Card 3805","","","($61.62)","$819.32"
"09/11/2023","Visa Check  WALMART.COM 8009666546 800-966-6546 AR 09/10/23 Card 3805","","","($3.28)","$816.04"
"09/11/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/11/23 Card 3805","","","($23.09)","$792.95"
"09/11/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/11/23 Card 3805","","","($11.29)","$781.66"
"09/12/2023","Visa Check  MCDONALD'S #F21389 PARKER CO 09/11/23 Card 3805","","","($9.80)","$771.86"
"09/12/2023","Withdrawal LIVWELL DTC -706765 7795 E BELL VIEW #2 DENVER CO Card 3805","","","($103.50)","$668.36"
"09/12/2023","Visa Check  DD DOORDASH SUBWAY 855-973-1040 CA 09/12/23 Card 3805","","","($24.77)","$643.59"
"09/12/2023","Visa Check  TARGET 00022194 PARKER CO 09/12/23 Card 3805","","","($16.18)","$627.41"
"09/12/2023","Visa Check  CHATGPT SUBSCRIPTION OPENAI.COM CA 09/12/23 Card 3805","","","($20.00)","$607.41"
"09/13/2023","T SQUARE 17050 E MAIN STREE US PARKER CO 5541 Card 3805","","","($8.17)","$599.24"
"09/13/2023","Visa Check  OPENAI OPENAI.COM CA 09/13/23 Card 3805","","","($1.12)","$598.12"
"09/13/2023","GOOGLE *Scopely Inc 855-836-3987 CA Card 3805","","","($4.99)","$593.13"
"09/13/2023","Visa Check  DD DOORDASH ARBYS 855-973-1040 CA 09/13/23 Card 3805","","","($21.05)","$572.08"
"09/14/2023","Visa Check  CHIPOTLE 0059 PARKER CO 09/13/23 Card 3805","","","($17.12)","$554.96"
"09/14/2023","Visa Check  AMZN Mktp US*TX0UC3FL2 Amzn.com/bill WA 09/14/23 Card 3805","","","($13.23)","$541.73"
"09/14/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/14/23 Card 3805","","","($14.93)","$526.80"
"09/14/2023","Visa Check  Kindle Svcs*TR5Q95551 888-802-3080 WA 09/14/23 Card 3805","","","($1.07)","$525.73"
"09/15/2023","Visa Check  DOORDASH DASHPASS WWW.DOORDASH. CA 09/15/23 Card 3805","","","($9.99)","$515.74"
"09/15/2023","Visa Check  LOAF N JUG #0007 PARKER CO 09/14/23 Card 3805","","","($22.16)","$493.58"
"09/15/2023","Visa Check  LOAF N JUG #0007 PARKER CO 09/14/23 Card 3805","","","($40.00)","$453.58"
"09/16/2023","Visa Check  ACT*Parker Rec/Culture 303-8053273 CO 09/16/23 Card 3805","","","($42.00)","$411.58"
"09/16/2023","Visa Check  7-ELEVEN 39421 PARKER CO 09/15/23 Card 3805","","","($12.14)","$399.44"
"09/17/2023","Visa Check  DD DOORDASH TWISTERSB 855-973-1040 CA 09/17/23 Card 3805","","","($24.80)","$374.64"
"09/18/2023","Visa Check  STEAMGAMES.COM 42595229 425-8899642 WA 09/18/23 Card 3805","","","($20.59)","$354.05"
"09/18/2023","Visa Check  FIVE BELOW 3020 PARKER CO 09/17/23 Card 3805","","","($15.79)","$338.26"
"09/18/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/18/23 Card 3805","","","($14.86)","$323.40"
"09/18/2023","Visa Check  DD DOORDASH MCDONALDS 855-973-1040 CA 09/18/23 Card 3805","","","($31.49)","$291.91"
"09/18/2023","Withdrawal PAI ISO 17050 E MAINSTREET PARKER CO Card 3805","","","($23.00)","$268.91"
"09/19/2023","T SQUARE 17050 E MAIN STREE US PARKER CO 5541 Card 3805","","","($8.39)","$260.52"
"09/19/2023","Visa Check  GOOGLE *YouTube Music g.co/helppay# CA 09/19/23 Card 3805","","","($11.76)","$248.76"
"09/19/2023","Visa Check  DD DOORDASH CARLSJR. 855-973-1040 CA 09/19/23 Card 3805","","","($19.45)","$229.31"
"09/19/2023","Visa Check  DD DOORDASH CHICK-FIL 855-973-1040 CA 09/19/23 Card 3805","","","($23.14)","$206.17"
"09/20/2023","Visa Check  BERRY BLENDZ PARKER CO 09/19/23 Card 3805","","","($8.86)","$197.31"
"09/20/2023","Visa Check  DD DOORDASH FUZZYSTAC 855-973-1040 CA 09/20/23 Card 3805","","","($22.34)","$174.97"
"09/20/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/20/23 Card 3805","","","($7.53)","$167.44"
"09/21/2023","Visa Check  TWISTERS PAR 21 PARKER CO 09/20/23 Card 3805","","","($11.86)","$155.58"
"09/21/2023","WM SUPERCENTER #2892 Wal-Mart Super Center PARKER CO Card 3805","","","($21.05)","$134.53"
"09/22/2023","Visa Check  #5716 EVERYDAY STORE PARKER CO 09/21/23 Card 3805","","","($46.98)","$87.55"
"09/22/2023","Visa Check  LOAF N JUG #0007 PARKER CO 09/21/23 Card 3805","","","($11.01)","$76.54"
"09/22/2023","DISHA CORP  : DIRECT DEP   : 9111111101","","","$748.78","$825.32"
"09/22/2023","Visa Check  ZEL*KORY BROWN Visa Direct AZ 09/23/23 Card 3805","","","($20.00)","$805.32"
"09/23/2023","Visa Check  CHIPOTLE 0059 PARKER CO 09/22/23 Card 3805","","","($12.26)","$793.06"
"09/23/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/23/23 Card 3805","","","($16.35)","$776.71"
"09/24/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/23/23 Card 3805","","","($20.01)","$756.70"
"09/24/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/24/23 Card 3805","","","($13.91)","$742.79"
"09/25/2023","Visa Check  ATG USA LLC 727-5121245 FL 09/24/23 Card 3805","","","($29.50)","$713.29"
"09/25/2023","Visa Check  AMZN Mktp US*T15PD5ED0 Amzn.com/bill WA 09/25/23 Card 3805","","","($41.38)","$671.91"
"09/25/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/25/23 Card 3805","","","($10.33)","$661.58"
"09/25/2023","Visa Check  DD DOORDASH LILRICCIS 855-973-1040 CA 09/25/23 Card 3805","","","($20.78)","$640.80"
"09/26/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/26/23 Card 3805","","","($14.26)","$626.54"
"09/26/2023","Visa Check  DD DOORDASH ARBYS 855-973-1040 CA 09/26/23 Card 3805","","","($28.71)","$597.83"
"09/27/2023","AMAZON CORP  : SYF PAYMNT   : 9069872103","","","($240.00)","$357.83"
"09/27/2023","Visa Check  DD DOORDASH CHARLEYSC 855-973-1040 CA 09/27/23 Card 3805","","","($23.38)","$334.45"
"09/27/2023","Withdrawal ENT CREDIT UNION 18700 COTTONWOOD DRIVE PARKER CO Card 3805","","","($65.00)","$269.45"
"09/27/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/27/23 Card 3805","","","($20.76)","$248.69"
"09/28/2023","Visa Check  MCDONALD'S #F21389 PARKER CO 09/27/23 Card 3805","","","($11.94)","$236.75"
"09/28/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/28/23 Card 3805","","","($32.62)","$204.13"
"09/29/2023","Visa Check  #5716 EVERYDAY STORE PARKER CO 09/28/23 Card 3805","","","($28.47)","$175.66"
"09/29/2023","Visa Check  DD DOORDASH MCDONALDS 855-973-1040 CA 09/29/23 Card 3805","","","($29.25)","$146.41"
"09/29/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 09/29/23 Card 3805","","","($6.21)","$140.20"
